Company_Name,Link_Company,Booth_Number,Link_Booth,About the Company,Company's Categories,Digital Press Releases
10-24 Products,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3,20607,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2007,,,
1791 Gunleather,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=6,75207,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2359,"At 1791 Gunleather, we manufacture and distribute multi-fit and multi-position holsters. Our 1,000+ strong dealer network is growing rapidly, thanks in part to strong positioning and increased brand awareness. Our holsters are produced using 100% American heavy native steerhide of the highest quality with craftsmanship that has been passed down for generations.", Hearing Protection,
1934 Armory,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3671,51136,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=326,"1934 Armory - where tradition and innovation meet to redefine the art of firearms craftsmanship. Founded in 2023 by owner Bert Elsner, the armory is a testament to our unwavering commitment to excellence, customer service and dedication to producing top-quality firearms. At 1934 Armory, we understand that owning a firearm is about possessing a piece of art that embodies both form and function. That is why our bolt-action firearms are not only exceptional in performance but also exquisitely designed, reflecting the elegance and timeless appeal of classic firearms.", Fabrication Machining Finishing,
2nd Amendment Wholesale,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1679,15054,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1868,"2nd Amendment Wholesale is dedicated to 100% wholesale-only sales and founded to serve Federal Firearm Licensed retailers around the country with fast shipping, superior service, and highly competitive prices. We thoroughly believe all the products we carry will yield high profits for any local gun shop that decides to stock them.", TreestandsSupplier,
3D Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3122,43930,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1328,"3D Systems launched the 3D printing industry in 1986 & has been leading additive manufacturing innovation ever since. Our broad portfolio of hardware, software, & material solutions spans from plastics to metals, & is backed by industry-specific engineering expertise housed in our Applications Innovation Group. We take a consultative, application-focused approach to solving your most difficult design & production challenges. The combination of our solutions, expertise, & innovation helps our users defy conventional manufacturing limitations & maximize the value of additive manufacturing.", Machinery Metals Plastics Services Software,
3M Peltor & 3M Scott,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=7,60411,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1391,,,
4 Stable Stick,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1675,41463,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=2839,4 Stable Stick is an innovative company from France that develops the most accurate shooting stick for stalking and driven hunt. The lightest shooting stick allows for travel (carbon and aeronautical aluminum).  The precision shooting stick and quad pod shooting stick are made in France., Game Calls Pet Supplies/Training Equipment Gunsmith Tools Scents/Lures,
4473 Cloud,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3997,13413,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1737,,,
4M Systems,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3909,12654,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1685,"At 4M Systems, we work to give our customers, our former colleagues and comrades the best equipment for their protection and assistance during service. Because we ourselves have vivid memories of how inadequate equipment could complicate life in combat deployment or training, we strive to find solutions that are not complications but simplifications. Every police officer, soldier or other user will know that this effort is reflected in each of our products. All CZ 4M vests, helmets, backpacks or holders can be relied on in any situation.",,
5.11,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=9,10334,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1529,"5.11 is the pioneer and world-leading maker of purpose-built gear. Grounded in the knowledge, experience and insights of professionals and elite end users around the world, 5.11 makes technical products that really work. We design for life’s most demanding missions, its toughest jobs and its greatest ambitions. We build to the highest standards: battle-ready, field-tested, functional, comfortable and lasting. We make gear engineered to work exceptionally and to empower and inspire those who tackle the toughest challenges head-on."," Footwear Apparel, Men's Apparel, Women's Bags/Packs & Equipment Law Enforcement Products/Services Cutlery/Sharpeners/Knives/Accessories",
5th Axis Workholding,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1722,51229,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=355,,,
7.62 Design,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=716,42954,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1182,"7.62 Design was founded in 1997 by a former Force RECON Marine. We provide logoed apparel and gifts to the outdoor, shooting, tactical and military markets."," Apparel, Men's Apparel, Women's Training and Safety Equipment",
707 Tactical Gear (SK7),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=11,15029,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1858,707 Tactical Gear is a company completely dedicated to design and manufacture the most innovative and advanced tactical and military apparel and footwear in the world. It is one of the few American companies in its niche that can design specific products according to our clients requests and manufacture them out of U.S. made materials in our fully owned factories. We are proud that we don’t manufacture any of our products in China. We are here to serve our law enforcement and military forces. Serving the brave in the land of the free.," Apparel, Men's Apparel, Women's Association/Agencies/Wildlife Mgmt. Firearms",
A-B Emblem,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=15,42040,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=976,"129-year-old, 5th generation family-owned embroidery company nestled in the mountains of Western North Carolina, just outside of Asheville. We offer a wide variety of custom embroidered items such as keychains, luggage and bag tags (great for gun cases), PVC patches, hats with patches attached, lapel pins, medals, stickers, challenge coins, VELCRO® patches, and custom patches of all kinds. Our custom patch caps and beanies are best-selling items. Custom PVC and VELCRO® patches are also bestsellers. USA and state flag patches are another. A-B has made patches for the US military since 1941."," Custom Manufacturing International Exhibitors Apparel, Men's Apparel, Women's",
A+ Products,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1723,51706,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=527,"Headquartered in Marlboro, NJ, A+ Group has been providing manufacturers with plastic and metal hardware for over 25 years. With an extensive inventory in our distribution facilities on both the east and west coast, A+ is your go-to supply partner. In addition to our standard hardware line, we also represent some of the world's top brands and manufacturers including Fidlock, Winhigh, Trimmers and Trans-Tex. Complementary to the A+ lines, our overseas division delivers custom product, retail ready goods, and sourcing services.", Packaging Metals,
AA&E Leathercraft,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=12,42526,https://n1b.goexposoftware.com/events/ss24/goExpo/floorPlan/viewFloorPlan.php?e=1&bi=1066,"Complete Line of Hunting Products: Leather, Neoprene, and Nylon Gunslings; Camo and Leather Sportsman Belts, Work Belts, and Shotgun Shell Belts; Suspenders; Sportsman Camo and Leather Wallets; Dog Collars and Leads, Handgun Cases; Knife Sheaths; Shell Pouches; Binocular Straps; Neoprene Recoil Pads; Butt Stock Shell Holders; Back-of-Seat Gun Holders; Utility Camo Rope; Skeet, Sporting Clay, or Trapshooting Bags; Shooting Bench Rest Bags; Swivels, and Miscellaneous Hunting Accessories"," Hunting Gear/Accessories Outfitters Leathergoods Scents/Lures Cutlery/Sharpeners/Knives/Accessories Apparel, Men's",
